iter	Passed	Remaining
0	58	58053
1	58	29142
2	58	19485
3	58	14653
4	59	11753
5	59	9821
6	59	8439
7	59	7403
8	59	6602
9	60	5962
10	60	5435
11	60	4996
12	60	4624
13	61	4305
14	61	4028
15	61	3786
16	61	3572
17	62	3382
18	62	3212
19	62	3059
20	62	2924
21	62	2799
22	63	2684
23	63	2578
24	63	2481
25	63	2392
26	64	2309
27	64	2232
28	64	2160
29	64	2093
30	64	2029
31	65	1970
32	65	1915
33	65	1863
34	65	1813
35	65	1766
36	66	1722
37	66	1680
38	66	1640
39	66	1603
40	67	1567
41	67	1533
42	67	1500
43	67	1469
44	67	1439
45	68	1411
46	68	1384
47	68	1357
48	68	1332
49	68	1308
50	69	1285
51	69	1263
52	69	1241
53	69	1220
54	69	1201
55	70	1182
56	70	1163
57	70	1145
58	70	1128
59	70	1111
60	71	1095
61	71	1080
62	71	1064
63	71	1050
64	72	1036
65	72	1022
66	72	1008
67	72	993
68	72	981
69	72	968
70	73	956
71	73	945
72	73	933
73	73	922
74	73	911
75	74	901
76	74	890
77	74	880
78	74	871
79	74	861
80	75	852
81	75	842
82	75	834
83	75	825
84	75	815
85	76	807
86	76	798
87	76	790
88	76	782
89	76	775
90	76	767
91	77	760
92	77	753
93	77	746
94	77	740
95	77	733
96	78	726
97	78	720
98	78	714
99	78	707
100	78	702
101	78	694
102	79	689
103	79	683
104	80	683
105	80	677
106	80	672
107	80	666
108	80	661
109	81	656
110	81	651
111	81	646
112	81	641
113	81	636
114	82	632
115	82	626
116	82	622
117	82	617
118	82	612
119	82	608
120	83	604
121	83	600
122	83	595
123	83	590
124	83	586
125	84	582
126	84	578
127	84	574
128	84	570
129	84	566
130	84	563
131	85	559
132	85	556
133	85	552
134	85	548
135	85	545
136	86	542
137	86	538
138	86	535
139	86	532
140	86	528
141	86	525
142	87	522
143	87	519
144	87	516
145	87	513
146	87	510
147	88	507
148	88	504
149	88	501
150	88	498
151	88	496
152	89	493
153	89	490
154	89	487
155	89	485
156	89	482
157	90	480
158	90	477
159	90	474
160	90	472
161	90	469
162	91	467
163	91	465
164	91	462
165	91	460
166	91	457
167	92	455
168	92	453
169	92	451
170	92	449
171	92	447
172	93	444
173	93	442
174	93	440
175	93	438
176	93	436
177	94	434
178	94	432
179	94	430
180	94	427
181	94	425
182	94	423
183	95	421
184	95	419
185	95	417
186	95	415
187	95	413
188	96	412
189	96	410
190	96	408
191	96	406
192	96	404
193	96	402
194	97	401
195	97	399
196	97	397
197	97	395
198	97	394
199	98	392
200	98	390
201	98	389
202	98	387
203	98	385
204	99	384
205	99	382
206	99	381
207	99	379
208	99	378
209	100	376
210	100	375
211	100	373
212	100	371
213	100	370
214	101	369
215	101	367
216	101	366
217	101	364
218	101	363
219	102	361
220	102	360
