iter	Passed	Remaining
0	57	57809
1	58	28988
2	58	19390
3	58	14582
4	58	11698
5	59	9777
6	59	8404
7	59	7373
8	59	6570
9	59	5928
10	60	5404
11	60	4965
12	60	4594
13	60	4279
14	61	4006
15	61	3768
16	61	3559
17	61	3370
18	62	3203
19	62	3051
20	62	2913
21	62	2787
22	62	2671
23	63	2567
24	63	2470
25	63	2381
26	63	2299
27	64	2221
28	64	2150
29	64	2083
30	64	2020
31	64	1961
32	65	1905
33	65	1853
34	65	1804
35	65	1758
36	65	1714
37	66	1673
38	66	1633
39	66	1595
40	66	1559
41	66	1525
42	67	1493
43	67	1462
44	67	1433
45	67	1405
46	67	1378
47	68	1352
48	68	1327
49	68	1303
50	68	1280
51	69	1258
52	69	1236
53	69	1216
54	69	1197
55	69	1178
56	70	1159
57	70	1141
58	70	1124
59	70	1107
60	70	1091
61	71	1075
62	71	1060
63	71	1046
64	71	1032
65	72	1019
66	72	1005
67	72	992
68	72	979
69	72	967
70	73	955
71	73	943
72	73	932
73	73	920
74	73	910
75	74	899
76	74	889
77	74	879
78	74	869
79	74	859
80	74	850
81	75	841
82	75	831
83	75	822
84	75	814
85	75	806
86	76	798
87	76	790
88	76	783
89	76	775
90	76	768
91	77	760
92	77	753
93	77	746
94	77	739
95	77	733
96	78	726
97	78	720
98	78	714
99	78	708
100	78	702
101	79	696
102	79	690
103	79	684
104	79	679
105	79	673
106	80	668
107	80	662
108	80	657
109	80	652
110	80	647
111	81	642
112	81	637
113	81	632
114	81	628
115	81	623
116	81	618
117	82	614
118	82	609
119	82	605
120	82	601
121	82	596
122	83	592
123	83	588
124	83	584
125	83	581
126	83	576
127	84	572
128	84	569
129	84	566
130	84	562
131	85	559
132	85	556
133	85	553
134	85	550
135	86	546
136	86	543
137	86	540
138	86	536
139	86	533
140	87	530
141	87	526
142	87	523
143	87	520
144	87	517
145	87	514
146	88	511
147	88	508
148	88	505
149	88	503
150	88	500
151	89	497
152	89	494
153	89	491
154	89	489
155	89	486
156	90	484
157	90	481
158	90	478
159	90	476
160	90	473
161	91	470
162	91	468
163	91	465
164	91	463
165	91	461
166	92	458
167	92	456
168	92	454
169	92	452
170	92	449
171	92	447
172	93	445
173	93	443
174	93	441
175	93	439
176	93	437
177	94	434
178	94	433
179	94	431
180	94	429
181	95	427
182	95	425
183	95	423
184	95	421
185	95	419
186	96	417
187	96	415
188	96	414
189	96	412
190	96	410
191	97	408
192	97	406
193	97	405
194	97	403
195	97	401
196	98	400
197	98	398
198	98	396
199	98	395
200	98	393
201	99	391
202	99	390
203	99	388
204	99	386
205	99	385
206	100	383
207	100	382
208	100	380
209	100	379
210	101	377
211	101	376
212	101	375
213	101	373
214	102	372
215	102	371
216	102	369
217	102	368
